,participant,day,block,trial_id,position,grasp,signal
0,1,1,1,1,2,3,"[[ 3.76349817e-05  1.98425078e-05  9.07169760e-06 ... -7.89036676e-06
  -1.49826537e-05 -1.43748375e-05]
 [ 2.48200813e-05  2.62004924e-05  2.57970714e-05 ...  2.36397518e-05
   2.26163229e-05  2.11052029e-05]
 [ 7.70358292e-06  9.89300042e-06  1.07674778e-05 ...  1.03989842e-05
   9.96852668e-06  9.72673752e-06]
 ...
 [-8.37383777e-06 -1.24599992e-05 -1.28278034e-05 ... -1.55725484e-05
  -1.43470406e-05 -1.06217649e-05]
 [-1.57952236e-05 -1.61320277e-05 -1.29005557e-05 ... -9.94938546e-06
  -9.96866675e-06 -1.09153243e-05]
 [-1.30936751e-05 -1.76599133e-05 -1.61400549e-05 ... -1.25840334e-05
  -1.46363518e-05 -1.61670978e-05]]"
1,1,1,1,2,2,3,"[[ 1.05379877e-05  1.15394896e-05  1.18090165e-05 ...  2.28420959e-05
   1.94325585e-05  2.00282320e-05]
 [ 1.74267807e-05  1.81171072e-05  1.61323278e-05 ...  2.51907750e-05
   2.45696920e-05  2.63745060e-05]
 [ 9.22877553e-06  9.82887741e-06  9.34532909e-06 ...  6.71826047e-06
   1.00900979e-05  1.02749045e-05]
 ...
 [-3.92861557e-06 -4.79590017e-06 -5.34747778e-06 ... -1.37622073e-05
  -1.30964218e-05 -1.29394830e-05]
 [ 8.97840664e-07 -3.89940487e-06 -5.86513715e-06 ... -1.91422569e-05
  -1.48182944e-05 -1.16775118e-05]
 [-3.42330935e-07 -5.52000813e-07 -2.34999584e-06 ... -1.44440255e-05
  -1.33859448e-05 -9.68062977e-06]]"
2,1,1,1,3,2,3,"[[ 1.69775649e-05  1.99370879e-05  2.18309942e-05 ...  4.06125037e-05
   3.63173822e-05  3.99458040e-05]
 [ 2.84807793e-05  3.06676811e-05  3.34765864e-05 ...  3.47174355e-05
   2.97571441e-05  2.65042308e-05]
 [ 7.70978477e-06  8.21505546e-06  1.02030035e-05 ...  1.01450187e-05
   9.77460877e-06  8.73040244e-06]
 ...
 [-1.17596946e-05 -1.06247817e-05 -8.40732446e-06 ... -8.83242046e-06
  -4.24140944e-06  5.02397916e-06]
 [-8.57351461e-06 -3.94097924e-06  7.69776307e-06 ... -1.10645897e-05
  -1.10913925e-05 -1.03961775e-05]
 [-7.99335248e-06 -6.67085214e-06 -6.38531083e-06 ... -7.06725405e-06
   3.59189698e-06  9.06763307e-06]]"
3,1,1,1,4,2,3,"[[ 3.6807487e-06  3.2587977e-06  2.3399070e-06 ...  5.8757534e-05
   4.7890135e-05  4.7152636e-05]
 [ 1.2401493e-05  1.4668970e-05  1.6580352e-05 ...  9.7454194e-06
   1.4665655e-05  2.0447167e-05]
 [ 1.0061866e-05  1.1900187e-05  1.3605899e-05 ...  1.1416911e-05
   1.1596369e-05  1.0043897e-05]
 ...
 [ 1.6680523e-06 -4.6562249e-07 -1.4699331e-06 ...  3.6996646e-06
   5.1716302e-06  6.8321219e-06]
 [-6.3733937e-06 -1.5540451e-06 -6.1308225e-07 ... -9.0317089e-06
  -9.7645134e-06 -1.0597658e-05]
 [-9.7009861e-06 -9.6207787e-06 -8.3627901e-06 ...  9.0599824e-06
   1.3525341e-05  1.6451770e-05]]"
4,1,1,1,5,2,3,"[[ 1.5383765e-05  1.8471881e-05  1.6300444e-05 ...  7.5738171e-05
   6.5521039e-05  3.9324441e-05]
 [ 3.1686053e-05  2.9977507e-05  2.6285885e-05 ...  2.3376608e-05
   2.4177425e-05  2.4014600e-05]
 [ 1.1814306e-05  1.1982353e-05  1.0849746e-05 ...  1.0064081e-05
   9.9663639e-06  9.2831242e-06]
 ...
 [-2.7820583e-06 -1.2526380e-06  1.2424252e-06 ... -3.6241508e-06
  -6.3609787e-06 -8.6242590e-06]
 [-9.9996432e-06 -8.8415291e-06 -6.7583551e-06 ... -1.6855611e-05
  -1.7457738e-05 -1.7975002e-05]
 [-8.3890263e-06 -7.9501469e-06 -6.6022812e-06 ... -1.3007483e-05
  -2.1794447e-05 -2.5263787e-05]]"
5,1,1,1,6,4,1,"[[-4.0954961e-05 -3.7203619e-05 -1.5032674e-05 ...  1.3305006e-05
   1.9270552e-05  2.1080479e-05]
 [ 2.9890311e-05  3.3207354e-05  3.6604029e-05 ...  1.6669541e-05
   1.5004834e-05  1.5058612e-05]
 [-6.8259405e-06 -6.1199730e-06 -5.7429443e-06 ...  1.1518759e-05
   1.0566667e-05  1.0396514e-05]
 ...
 [-5.8090895e-06 -9.8031687e-06 -1.0410851e-05 ... -1.0625096e-05
  -8.8527286e-06 -5.4099150e-06]
 [-1.1072193e-05 -1.1083862e-05 -8.6948730e-06 ... -1.0408466e-05
  -1.0330524e-05 -1.1002254e-05]
 [-1.3896754e-05 -1.7160479e-05 -1.7824190e-05 ... -1.1523806e-05
  -1.4350675e-05 -2.4028366e-05]]"
6,1,1,1,7,4,1,"[[ 2.5097963e-05  2.3993141e-05  2.3825929e-05 ...  7.8485946e-06
   1.0565063e-06 -1.4192399e-06]
 [ 2.9162766e-05  2.7874010e-05  2.7851971e-05 ...  1.8722260e-06
  -7.6147262e-06 -7.9752326e-06]
 [ 8.0273530e-06  9.3117715e-06  8.5208376e-06 ...  1.0787148e-05
   1.1700889e-05  1.3877859e-05]
 ...
 [-1.1103287e-05 -1.1052936e-05 -1.0657277e-05 ... -1.2289783e-05
  -1.1585088e-05 -1.2060955e-05]
 [-1.8519353e-05 -1.6699218e-05 -1.5532560e-05 ... -4.9527162e-06
  -6.8263876e-06 -1.0614322e-05]
 [-1.0753658e-05 -1.2105621e-05 -1.0950407e-05 ... -6.3192606e-06
  -1.8305761e-06  5.5266588e-07]]"
7,1,1,1,8,4,1,"[[ 1.19977885e-05  1.23946447e-05  1.13324468e-05 ...  4.94425731e-05
   4.66904930e-05  3.78670811e-05]
 [ 1.73452063e-05  1.55606176e-05  1.33186113e-05 ...  3.35360201e-05
   2.52081536e-05  1.66772152e-05]
 [ 7.18817182e-06  6.91222749e-06  5.66302106e-06 ...  9.58349483e-06
   1.04058236e-05  9.81314497e-06]
 ...
 [-6.14201645e-06 -7.35555204e-06 -8.08358345e-06 ... -1.04806259e-05
  -8.40161192e-06 -3.36852986e-06]
 [-9.49561581e-06 -9.37863297e-06 -1.00889019e-05 ... -3.91055710e-06
  -3.03086858e-06 -3.16031742e-06]
 [-9.27271412e-06 -9.89691216e-06 -1.00577663e-05 ... -5.77486071e-06
  -6.38242591e-06 -5.70547309e-06]]"
8,1,1,1,9,4,1,"[[ 1.24650778e-05  1.19311144e-05  8.89476451e-06 ...  8.02296563e-05
   7.62223717e-05  6.09173367e-05]
 [ 2.13176045e-05  2.23190455e-05  2.16230692e-05 ...  4.80343442e-05
   2.92534587e-05  1.02132572e-05]
 [ 8.31492889e-06  7.65213008e-06  7.49224318e-06 ...  1.61168155e-05
   1.10581586e-05  7.08592279e-06]
 ...
 [-1.10169540e-05 -1.03213115e-05 -9.85988390e-06 ...  8.63964306e-06
   3.68956262e-06  5.38295978e-07]
 [-1.02796339e-05 -8.97237624e-06 -8.85747249e-06 ... -6.01107331e-06
  -6.37095354e-06 -6.31127796e-06]
 [-1.02718250e-05 -1.19519354e-05 -1.26630839e-05 ...  1.59003284e-05
   6.70372174e-06  6.69184033e-07]]"
9,1,1,1,10,4,1,"[[ 4.4633189e-06  1.8881104e-06  4.6771245e-07 ...  1.0732153e-05
   1.2387009e-05  1.5426120e-05]
 [ 2.4067296e-05  2.6129697e-05  2.6313244e-05 ...  3.1663069e-05
   3.4235141e-05  3.8184942e-05]
 [ 8.4742014e-06  9.1286020e-06  9.0739777e-06 ...  1.5795833e-05
   1.4051111e-05  1.1992707e-05]
 ...
 [-9.6617532e-06 -8.6194304e-06 -7.0529436e-06 ... -1.1002484e-05
  -9.8526916e-06 -9.7675111e-06]
 [-1.1088080e-05 -1.1513782e-05 -1.3543449e-05 ... -7.5140319e-06
  -5.9945860e-06 -6.9075459e-06]
 [-1.1074865e-05 -1.1155566e-05 -1.2189812e-05 ... -8.8564557e-06
  -8.5265274e-06 -8.4081739e-06]]"
